algorithm,_max_time,_random_seed,_hms,crossover,temp_scale,steps,_hmcr,_par,_max_imp,problem_number,is_multi,test_percentage,_obj_1,_obj_2,hurdle,drop,pvalue_penalty,complexity_level
hs,1300000,13,20,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,20,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,25,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,30,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,35,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,40,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,45,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.5,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.65,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.3,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.3,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.3,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.3,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.5,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.5,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.5,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.5,72000,9,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.7,72000,3,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.7,72000,4,1,0.2,bic,MAE,0,0,10,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.7,72000,8,1,0.2,bic,MAE,0,0,0,6
hs,1300000,13,50,0.0,0.0,0,0.8,0.7,72000,9,1,0.2,bic,MAE,0,0,10,6
sa,1300000,13,0,0.05,0.95,2,0.0,0.0,72000,3,1,0.2,bic,MAE,0,0,10,6
